Fight Type,Method:,Round:,Time:,Time format:,Referee:,Details,Winner,r_figher,b_figher,r_figher_sig_str,b_figher_sig_str,r_figher_sig_str %,b_figher_sig_str %,r_figher_total_str,b_figher_total_str
Bantamweight Bout,Submission,2,3:09,3 Rnd (5-5-5),Herb Dean,Arm Triangle From Half Guard,Rani Yahya,Rani Yahya,Ray Rodriguez,8 of 13,3 of 18,61%,16%,42 of 65,15 of 35
Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Chris Lee27 - 30.Junichiro Kamijo28 - 29.Tony Weeks28 - 29.,Nasrat Haqparast,Nasrat Haqparast,Rafa Garcia,99 of 217,52 of 217,45%,23%,99 of 218,54 of 219
Women's Flyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Mark Smith,Rick Winter28 - 29.Mike Bell28 - 29.Sal D'amato29 - 28.,JJ Aldrich,Cortney Casey,JJ Aldrich,55 of 131,45 of 80,41%,56%,121 of 202,58 of 99
Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,Sal D'amato28 - 29.Chris Lee28 - 29.Bryan Miner28 - 29.,Jinh Yu Frey,Gloria de Paula,Jinh Yu Frey,31 of 63,24 of 79,49%,30%,51 of 95,50 of 125
Welterweight Bout,KO/TKO,1,0:16,3 Rnd (5-5-5),Chris Tognoni,Punch to Head At Distance,Matthew Semelsberger,Matthew Semelsberger,Jason Witt,3 of 5,4 of 4,60%,100%,3 of 5,4 of 4
UFC Light Heavyweight Title Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Sal D'amato46 - 49.Derek Cleary45 - 49.Junichiro Kamijo45 - 49.,Jan Blachowicz,Jan Blachowicz,Israel Adesanya,107 of 193,78 of 161,55%,48%,184 of 276,99 of 182
UFC Women's Featherweight Title Bout,Submission,1,2:03,5 Rnd (5-5-5-5-5),Jason Herzog,"Armbar From Back Control
      Triangle armbar",Amanda Nunes,Amanda Nunes,Megan Anderson,18 of 25,2 of 5,72%,40%,19 of 26,2 of 5
UFC Bantamweight Title Bout,DQ,4,4:29,5 Rnd (5-5-5-5-5),Mark Smith,Illegal Knee to Grounded Opponent,Aljamain Sterling,Petr Yan,Aljamain Sterling,86 of 137,97 of 230,62%,42%,103 of 157,119 of 260
Lightweight Bout,Submission,3,1:37,3 Rnd (5-5-5),Chris Tognoni,Arm Triangle From Half Guard,Islam Makhachev,Islam Makhachev,Drew Dober,15 of 25,10 of 20,60%,50%,102 of 119,14 of 24
Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Eric Colon28 - 29.Dave Hagen28 - 29.Ron McCarthy27 - 30.,Aleksandar Rakic,Thiago Santos,Aleksandar Rakic,49 of 97,36 of 89,50%,40%,61 of 109,50 of 103
Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Jason Herzog,Derek Cleary28 - 29.Mike Bell29 - 28.Sal D'amato27 - 30.,Dominick Cruz,Dominick Cruz,Casey Kenney,89 of 202,74 of 193,44%,38%,115 of 229,74 of 193
Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Eric Colon28 - 29.Chris Lee28 - 29.Ron McCarthy28 - 29.,Kyler Phillips,Song Yadong,Kyler Phillips,67 of 161,59 of 142,41%,41%,89 of 189,69 of 152
Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Derek Cleary27 - 30.Tony Weeks27 - 30.Sal D'amato26 - 30.,Askar Askarov,Joseph Benavidez,Askar Askarov,46 of 114,58 of 88,40%,65%,61 of 130,71 of 107
Flyweight Bout,KO/TKO,1,4:55,3 Rnd (5-5-5),Herb Dean,Punch to Head In Clinch,Kai Kara-France,Rogerio Bontorin,Kai Kara-France,6 of 17,13 of 22,35%,59%,27 of 43,21 of 32
Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell27 - 30.Sal D'amato27 - 30.Chris Lee25 - 30.,Tim Elliott,Tim Elliott,Jordan Espinosa,25 of 44,13 of 25,56%,52%,91 of 120,22 of 35
Light Heavyweight Bout,KO/TKO,2,3:19,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,Kennedy Nzechukwu,Kennedy Nzechukwu,Carlos Ulberg,82 of 148,146 of 227,55%,64%,84 of 150,146 of 227
Welterweight Bout,Submission,3,3:28,3 Rnd (5-5-5),Chris Tognoni,Arm Triangle From Half Guard,Sean Brady,Sean Brady,Jake Matthews,37 of 68,21 of 84,54%,25%,133 of 187,32 of 95
Women's Strawweight Bout,KO/TKO,1,3:39,3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance,Amanda Lemos,Livinha Souza,Amanda Lemos,1 of 7,29 of 46,14%,63%,1 of 7,30 of 47
Lightweight Bout,KO/TKO,1,1:40,3 Rnd (5-5-5),Mark Smith,Punches to Head On Ground,Uros Medic,Uros Medic,Aalon Cruz,45 of 63,0 of 3,71%,0%,55 of 74,0 of 3
Bantamweight Bout,KO/TKO,2,0:47,3 Rnd (5-5-5),Chris Tognoni,Punch to Head At Distance,Trevin Jones,Mario Bautista,Trevin Jones,21 of 42,23 of 30,50%,76%,43 of 64,36 of 44
Heavyweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Derek Cleary45 - 50.Sal D'amato45 - 50.Junichiro Kamijo45 - 50.,Ciryl Gane,Jairzinho Rozenstruik,Ciryl Gane,42 of 104,102 of 176,40%,57%,49 of 111,128 of 202
Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell28 - 29.Chris Lee28 - 29.Ron McCarthy28 - 29.,Magomed Ankalaev,Nikita Krylov,Magomed Ankalaev,47 of 120,43 of 92,39%,46%,58 of 132,89 of 143
Women's Flyweight Bout,Decision - Majority,3,5:00,3 Rnd (5-5-5),Jerin Valel,Eric Colon27 - 28.Derek Cleary28 - 28.Sal D'amato28 - 28.,draw,Montana De La Rosa,Mayra Bueno Silva,30 of 72,52 of 80,41%,65%,107 of 156,111 of 142
Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Ron McCarthy27 - 30.Junichiro Kamijo27 - 30.Mike Bell28 - 29.,Pedro Munhoz,Pedro Munhoz,Jimmie Rivera,94 of 194,65 of 193,48%,33%,94 of 194,65 of 193
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Eric Colon26 - 30.Chris Lee26 - 30.Tony Weeks27 - 30.,Alex Caceres,Alex Caceres,Kevin Croom,48 of 68,16 of 51,70%,31%,97 of 121,26 of 67
Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Eric Colon27 - 30.Dave Hagen27 - 30.Ron McCarthy28 - 29.,Thiago Moises,Alexander Hernandez,Thiago Moises,50 of 205,53 of 183,24%,28%,50 of 205,53 of 183
Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell27 - 30.Tony Weeks27 - 30.Derek Cleary26 - 30.,Alexis Davis,Alexis Davis,Sabina Mazo,49 of 83,64 of 165,59%,38%,128 of 196,71 of 173
Bantamweight Bout,KO/TKO,3,2:38,3 Rnd (5-5-5),Jerin Valel,Punches to Head On Ground,Ronnie Lawrence,Vince Cachero,Ronnie Lawrence,15 of 46,77 of 121,32%,63%,23 of 55,102 of 151
Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell28 - 29.Sal D'amato28 - 29.Tony Weeks28 - 29.,Dustin Jacoby,Dustin Jacoby,Maxim Grishin,57 of 137,66 of 156,41%,42%,60 of 141,80 of 172
Heavyweight Bout,KO/TKO,2,1:26,5 Rnd (5-5-5-5-5),Herb Dean,Punch to Head At Distance,Derrick Lewis,Curtis Blaydes,Derrick Lewis,28 of 52,7 of 23,53%,30%,28 of 52,7 of 23
Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Eric Colon28 - 29.Sal D'amato28 - 29.Junichiro Kamijo28 - 29.,Yana Kunitskaya,Ketlen Vieira,Yana Kunitskaya,7 of 16,47 of 60,43%,78%,35 of 51,215 of 247
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell26 - 30.Rick Winter27 - 30.Chris Lee27 - 29.,Darrick Minner,Charles Rosa,Darrick Minner,15 of 25,45 of 60,60%,75%,40 of 51,96 of 117
Heavyweight Bout,KO/TKO,1,1:55,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance,Chris Daukaus,Aleksei Oleinik,Chris Daukaus,5 of 10,34 of 56,50%,60%,6 of 11,34 of 56
Middleweight Bout,Decision - Majority,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Junichiro Kamijo28 - 28.Mike Bell28 - 29.Chris Lee28 - 29.,Phil Hawes,Phil Hawes,Nassourdine Imavov,31 of 54,57 of 93,57%,61%,101 of 128,87 of 124
Heavyweight Bout,Submission,2,1:09,3 Rnd (5-5-5),Mark Smith,Rear Naked Choke,Tom Aspinall,Andrei Arlovski,Tom Aspinall,20 of 55,37 of 60,36%,61%,22 of 57,41 of 64
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Eric Colon27 - 30.Junichiro Kamijo27 - 30.Chris Lee28 - 29.,Jared Gordon,Jared Gordon,Danny Chavez,82 of 131,39 of 113,62%,34%,138 of 191,42 of 116
Bantamweight Bout,KO/TKO,1,4:44,3 Rnd (5-5-5),Jason Herzog,Punches to Head At Distance,John Castaneda,Eddie Wineland,John Castaneda,17 of 66,42 of 57,25%,73%,17 of 66,44 of 59
Featherweight Bout,KO/TKO,1,0:56,3 Rnd (5-5-5),Mark Smith,Flying Knee Head,Julian Erosa,Nate Landwehr,Julian Erosa,9 of 14,15 of 23,64%,65%,9 of 14,17 of 25
Women's Flyweight Bout,KO/TKO,2,3:41,3 Rnd (5-5-5),Chris Tognoni,Punches to Head From Mount,Casey O'Neill,Shana Dobson,Casey O'Neill,16 of 28,49 of 68,57%,72%,27 of 42,132 of 183
Bantamweight Bout,KO/TKO,1,3:05,3 Rnd (5-5-5),Mark Smith,Punch to Head At Distance,Aiemann Zahabi,Aiemann Zahabi,Drako Rodriguez,9 of 11,11 of 33,81%,33%,9 of 11,13 of 35
Heavyweight Bout,KO/TKO,2,4:32,3 Rnd (5-5-5),Chris Tognoni,Punches to Head From Mount,Serghei Spivac,Serghei Spivac,Jared Vanderaa,51 of 72,13 of 24,70%,54%,107 of 135,27 of 38
UFC Welterweight Title Bout,KO/TKO,3,0:34,5 Rnd (5-5-5-5-5),Herb Dean,Punches to Head On Ground,Kamaru Usman,Kamaru Usman,Gilbert Burns,83 of 136,45 of 108,61%,41%,93 of 149,55 of 124
Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Junichiro Kamijo28 - 29.Sal D'amato28 - 29.Eric Colon28 - 29.,Alexa Grasso,Maycee Barber,Alexa Grasso,40 of 152,38 of 81,26%,46%,50 of 165,95 of 162
Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Ron McCarthy27 - 30.Bryan Miner28 - 29.Derek Cleary28 - 29.,Kelvin Gastelum,Kelvin Gastelum,Ian Heinisch,38 of 84,27 of 67,45%,40%,51 of 115,56 of 107
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Sal D'amato27 - 30.Tony Weeks27 - 30.Ron McCarthy27 - 30.,Ricky Simon,Ricky Simon,Brian Kelleher,45 of 98,19 of 73,45%,26%,72 of 136,25 of 83
Middleweight Bout,Submission,3,4:17,3 Rnd (5-5-5),Mark Smith,Anaconda Choke On Ground,Julian Marquez,Maki Pitolo,Julian Marquez,32 of 65,41 of 100,49%,41%,70 of 110,61 of 129
Middleweight Bout,Submission,2,1:53,3 Rnd (5-5-5),Keith Peterson,Guillotine Choke On Ground,Anthony Hernandez,Rodolfo Vieira,Anthony Hernandez,9 of 26,32 of 50,34%,64%,14 of 32,50 of 73
Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Jerin Valel27 - 30.Sal D'amato27 - 30.Derek Cleary27 - 30.,Belal Muhammad,Belal Muhammad,Dhiego Lima,129 of 264,69 of 203,48%,33%,136 of 284,70 of 206
Women's Strawweight Bout,Submission,1,3:18,3 Rnd (5-5-5),Mark Smith,Armbar From Mount,Polyana Viana,Polyana Viana,Mallory Martin,4 of 16,5 of 7,25%,71%,71 of 89,14 of 19
Catch Weight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Junichiro Kamijo26 - 30.Ron McCarthy28 - 29.Sal D'amato27 - 30.,Chris Gutierrez,Andre Ewell,Chris Gutierrez,59 of 120,69 of 126,49%,54%,62 of 124,72 of 131
Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Tony Weeks27 - 30.Dave Hagen28 - 29.Eric Colon28 - 29.,Gabe Green,Gabe Green,Philip Rowe,70 of 152,42 of 86,46%,48%,128 of 213,48 of 93
Heavyweight Bout,KO/TKO,2,2:06,5 Rnd (5-5-5-5-5),Jason Herzog,Punch to Head At Distance,Alexander Volkov,Alistair Overeem,Alexander Volkov,10 of 20,54 of 88,50%,61%,10 of 20,54 of 88
Bantamweight Bout,KO/TKO,1,0:28,3 Rnd (5-5-5),Keith Peterson,Flying Knee Head,Cory Sandhagen,Cory Sandhagen,Frankie Edgar,2 of 5,2 of 3,40%,66%,2 of 5,2 of 3
Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Chris Lee27 - 30.Junichiro Kamijo27 - 30.Tony Weeks27 - 30.,Clay Guida,Michael Johnson,Clay Guida,58 of 126,49 of 89,46%,55%,70 of 138,65 of 107
Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Chris Lee28 - 29.Rick Winter28 - 29.Jerin Valel27 - 30.,Alexandre Pantoja,Alexandre Pantoja,Manel Kape,74 of 149,49 of 91,49%,53%,77 of 152,51 of 94
Lightweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Dave Hagen28 - 29.Jerin Valel29 - 28.Chris Lee28 - 29.,Beneil Dariush,Diego Ferreira,Beneil Dariush,54 of 121,62 of 116,44%,53%,74 of 145,74 of 132
Light Heavyweight Bout,Submission,2,4:52,3 Rnd (5-5-5),Jason Herzog,Rear Naked Choke,Danilo Marques,Mike Rodriguez,Danilo Marques,16 of 24,29 of 29,66%,100%,34 of 43,55 of 58
Catch Weight Bout,TKO - Doctor's Stoppage,2,3:38,3 Rnd (5-5-5),Keith Peterson,Eye Injury,Devonte Smith,Devonte Smith,Justin Jaynes,34 of 65,11 of 27,52%,40%,46 of 78,19 of 35
Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Chris Lee27 - 30.Adalaide Byrd27 - 30.Junichiro Kamijo27 - 30.,Karol Rosa,Karol Rosa,Joselyne Edwards,57 of 84,38 of 59,67%,64%,135 of 175,70 of 97
Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Sal D'amato27 - 29.Chris Lee28 - 29.Jerin Valel27 - 30.,Lara Procopio,Molly McCann,Lara Procopio,37 of 47,36 of 58,78%,62%,71 of 83,85 of 113
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Sal D'amato28 - 29.Junichiro Kamijo28 - 29.Adalaide Byrd27 - 30.,SeungWoo Choi,SeungWoo Choi,Youssef Zalal,41 of 109,23 of 47,37%,48%,73 of 144,46 of 70
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Jerin Valel25 - 30.Rick Winter25 - 30.Tony Weeks26 - 30.,Timur Valiev,Timur Valiev,Martin Day,55 of 76,8 of 28,72%,28%,115 of 149,24 of 46
Featherweight Bout,KO/TKO,1,0:26,3 Rnd (5-5-5),Chris Tognoni,Punch to Head At Distance,Ode Osbourne,Ode Osbourne,Jerome Rivera,5 of 6,2 of 3,83%,66%,5 of 6,2 of 3
Lightweight Bout,KO/TKO,2,2:32,5 Rnd (5-5-5-5-5),Herb Dean,Punches to Head At Distance,Dustin Poirier,Dustin Poirier,Conor McGregor,48 of 91,29 of 66,52%,43%,53 of 98,52 of 92
Lightweight Bout,KO/TKO,1,2:30,3 Rnd (5-5-5),Marc Goddard,Punch to Head At Distance,Michael Chandler,Dan Hooker,Michael Chandler,8 of 19,17 of 24,42%,70%,8 of 19,17 of 24
Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Eric Colon27 - 30.Anders Ohlsson27 - 30.Ben Cartlidge28 - 29.,Joanne Calderwood,Jessica Eye,Joanne Calderwood,77 of 173,148 of 240,44%,61%,104 of 218,214 of 319
Middleweight Bout,KO/TKO,3,2:59,3 Rnd (5-5-5),Jason Herzog,Punches to Head At Distance,Makhmud Muradov,Andrew Sanchez,Makhmud Muradov,48 of 141,79 of 174,34%,45%,50 of 144,82 of 177
Women's Strawweight Bout,KO/TKO,2,0:54,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,Marina Rodriguez,Marina Rodriguez,Amanda Ribas,15 of 36,7 of 23,41%,30%,26 of 52,35 of 57
Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Sal D'amato27 - 30.Clemens Werner27 - 30.Eric Colon26 - 30.,Arman Tsarukyan,Arman Tsarukyan,Matt Frevola,50 of 103,16 of 57,48%,28%,103 of 180,51 of 97
Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Ben Cartlidge27 - 30.Anders Ohlsson27 - 30.David Lethaby28 - 29.,Brad Tavares,Brad Tavares,Antonio Carlos Junior,54 of 108,34 of 103,50%,33%,73 of 135,57 of 135
Women's Bantamweight Bout,Submission,3,3:39,3 Rnd (5-5-5),Keith Peterson,Rear Naked Choke,Julianna Pena,Julianna Pena,Sara McMann,38 of 76,21 of 54,50%,38%,140 of 192,28 of 63
Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Ben Cartlidge28 - 29.Eric Colon28 - 29.Anders Ohlsson28 - 29.,Marcin Prachnio,Khalil Rountree Jr.,Marcin Prachnio,49 of 148,102 of 216,33%,47%,50 of 149,105 of 220
Catch Weight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Ben Cartlidge28 - 29.Eric Colon29 - 28.Paul Sutherland28 - 29.,Movsar Evloev,Nik Lentz,Movsar Evloev,46 of 127,82 of 170,36%,48%,50 of 137,137 of 235
Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell28 - 29.Anders Ohlsson28 - 29.Clemens Werner28 - 29.,Amir Albazi,Amir Albazi,Zhalgas Zhumagulov,68 of 169,59 of 132,40%,44%,94 of 200,74 of 150
Welterweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Mike Bell46 - 49.Sal D'amato46 - 49.David Lethaby46 - 49.,Michael Chiesa,Michael Chiesa,Neil Magny,24 of 52,12 of 50,46%,24%,93 of 125,52 of 96
Welterweight Bout,KO/TKO,1,2:35,3 Rnd (5-5-5),Herb Dean,Kick to Body At Distance,Warlley Alves,Warlley Alves,Mounir Lazzez,17 of 21,2 of 2,80%,100%,24 of 30,2 of 2
Light Heavyweight Bout,KO/TKO,2,0:39,3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance,Ike Villanueva,Ike Villanueva,Vinicius Moreira,24 of 56,24 of 42,42%,57%,24 of 56,24 of 42
Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Sal D'amato27 - 30.David Lethaby27 - 30.Clemens Werner26 - 30.,Viviane Araujo,Roxanne Modafferi,Viviane Araujo,46 of 184,86 of 198,25%,43%,49 of 193,100 of 214
Flyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,Mike Bell28 - 29.Anders Ohlsson28 - 29.Eric Colon29 - 28.,Matt Schnell,Matt Schnell,Tyson Nam,85 of 214,58 of 193,39%,30%,85 of 214,58 of 193
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Ben Cartlidge28 - 29.David Lethaby28 - 29.Paul Sutherland27 - 30.,Lerone Murphy,Lerone Murphy,Douglas Silva de Andrade,48 of 115,39 of 108,41%,36%,60 of 131,51 of 121
Middleweight Bout,Submission,2,1:41,3 Rnd (5-5-5),Lukasz Bosacki,Arm Triangle From Half Guard,Omari Akhmedov,Omari Akhmedov,Tom Breese,25 of 38,1 of 4,65%,25%,73 of 91,6 of 12
Bantamweight Bout,Submission,2,4:00,3 Rnd (5-5-5),Keith Peterson,Arm Triangle From Mount,Ricky Simon,Ricky Simon,Gaetano Pirrello,17 of 32,6 of 14,53%,42%,50 of 69,10 of 18
Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Eric Colon28 - 29.Sal D'amato28 - 29.Clemens Werner27 - 30.,Su Mudaerji,Su Mudaerji,Zarrukh Adashev,50 of 127,28 of 123,39%,22%,50 of 127,28 of 123
Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Mike Bell28 - 29.Anders Ohlsson28 - 29.Paul Sutherland28 - 29.,Dalcha Lungiambula,Dalcha Lungiambula,Markus Perez,29 of 65,25 of 49,44%,51%,61 of 98,50 of 75
Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Ben Cartlidge28 - 29.David Lethaby28 - 29.Clemens Werner28 - 29.,Francisco Figueiredo,Francisco Figueiredo,Jerome Rivera,29 of 53,31 of 134,54%,23%,39 of 65,85 of 199
Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Sal D'amato28 - 29.Eric Colon28 - 29.Anders Ohlsson28 - 29.,Mike Davis,Mike Davis,Mason Jones,108 of 207,117 of 313,52%,37%,111 of 210,132 of 329
Bantamweight Bout,Submission,2,3:39,3 Rnd (5-5-5),Jason Herzog,Rear Naked Choke,Umar Nurmagomedov,Umar Nurmagomedov,Sergey Morozov,25 of 41,7 of 30,60%,23%,32 of 48,8 of 31
Women's Flyweight Bout,KO/TKO,2,4:08,3 Rnd (5-5-5),Lukasz Bosacki,Punches to Head At Distance,Manon Fiorot,Victoria Leonardo,Manon Fiorot,17 of 81,53 of 100,20%,53%,18 of 82,58 of 105
Featherweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Mike Bell43 - 50.Ben Cartlidge43 - 50.David Lethaby42 - 50.,Max Holloway,Max Holloway,Calvin Kattar,445 of 744,133 of 283,59%,47%,447 of 746,134 of 284
Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Anders Ohlsson27 - 30.Paul Sutherland27 - 30.Clemens Werner27 - 30.,Carlos Condit,Carlos Condit,Matt Brown,39 of 88,28 of 37,44%,75%,157 of 209,37 of 52
Welterweight Bout,KO/TKO,1,4:25,3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance,Li Jingliang,Santiago Ponzinibbio,Li Jingliang,11 of 18,21 of 50,61%,42%,11 of 18,21 of 50
Middleweight Bout,KO/TKO,1,2:12,3 Rnd (5-5-5),Keith Peterson,Kick to Head At Distance,Alessio Di Chirico,Joaquin Buckley,Alessio Di Chirico,3 of 22,12 of 23,13%,52%,3 of 22,12 of 23
Middleweight Bout,KO/TKO,1,4:48,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,Punahele Soriano,Punahele Soriano,Dusko Todorovic,30 of 66,22 of 57,45%,38%,32 of 69,23 of 59
Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Lukasz Bosacki27 - 30.Anders Ohlsson27 - 30.Ben Cartlidge28 - 29.,Joselyne Edwards,Wu Yanan,Joselyne Edwards,58 of 129,88 of 178,44%,49%,70 of 148,111 of 206
Heavyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,Lukasz Bosacki28 - 29.Anders Ohlsson29 - 28.Paul Sutherland28 - 29.,Carlos Felipe,Carlos Felipe,Justin Tafa,77 of 142,86 of 148,54%,58%,77 of 142,109 of 171
Welterweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Jason Herzog,Ben Cartlidge28 - 29.Mike Bell29 - 28.David Lethaby28 - 29.,Ramazan Emeev,David Zawada,Ramazan Emeev,44 of 114,53 of 101,38%,52%,114 of 190,101 of 160
Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Lukasz Bosacki27 - 30.Anders Ohlsson28 - 29.Clemens Werner28 - 29.,Vanessa Melo,Sarah Moras,Vanessa Melo,44 of 200,56 of 169,22%,33%,44 of 200,56 of 169
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,David Lethaby26 - 30.Paul Sutherland26 - 30.Ben Cartlidge27 - 30.,Austin Lingo,Jacob Kilburn,Austin Lingo,64 of 201,95 of 182,31%,52%,78 of 216,110 of 197
Welterweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Derek Cleary45 - 50.Sal D'amato45 - 50.Junichiro Kamijo45 - 50.,Stephen Thompson,Stephen Thompson,Geoff Neal,171 of 406,85 of 179,42%,47%,191 of 428,110 of 205
Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Mike Bell28 - 29.Eric Colon28 - 29.Ron McCarthy28 - 29.,Jose Aldo,Jose Aldo,Marlon Vera,44 of 70,46 of 82,62%,56%,60 of 86,92 of 133
Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell28 - 29.Eric Colon28 - 29.Tony Weeks28 - 29.,Michel Pereira,Michel Pereira,Khaos Williams,44 of 79,55 of 127,55%,43%,56 of 94,62 of 134
Bantamweight Bout,KO/TKO,1,3:47,3 Rnd (5-5-5),Marc Goddard,Punches to Head On Ground,Rob Font,Marlon Moraes,Rob Font,9 of 12,30 of 37,75%,81%,12 of 16,33 of 41
Heavyweight Bout,KO/TKO,2,4:31,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head From Half Guard,Marcin Tybura,Marcin Tybura,Greg Hardy,51 of 101,50 of 91,50%,54%,60 of 111,50 of 91
Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Derek Cleary28 - 29.Eric Colon28 - 29.Ron McCarthy28 - 29.,Anthony Pettis,Anthony Pettis,Alex Morono,50 of 80,31 of 78,62%,39%,80 of 115,50 of 102
Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Derek Cleary28 - 29.Sal D'amato28 - 29.Junichiro Kamijo28 - 29.,Pannie Kianzad,Sijara Eubanks,Pannie Kianzad,49 of 104,92 of 143,47%,64%,70 of 131,132 of 187
